{'local_model_0': 0.5971638121821126, 'local_model_1': 0.6534344511660893, 'local_model_2': 0.7213643212563722, 'local_model_3': 0.856256208724487, 'local_model_4': 0.6270254510909051, 'local_model_5': 0.717073103762874, 'local_model_6': 0.7507892903618473, 'local_model_7': 0.824713064621958, 'local_model_8': 0.7152512225102206, 'local_model_9': 0.6202659640999866}
{'local_model_0': 0.6593923551797295, 'local_model_1': 0.6982294594541839, 'local_model_2': 0.6555495158079157, 'local_model_3': 0.8235787515534803, 'local_model_4': 0.7566674022832446, 'local_model_5': 0.8267112970352682, 'local_model_6': 0.7275727691805921, 'local_model_7': 0.7661862389577749, 'local_model_8': 0.5879234534088714, 'local_model_9': 0.7014365116792298}
{'local_model_0': 0.7723452106318973, 'local_model_1': 0.7003282913263407, 'local_model_2': 0.543525828964425, 'local_model_3': 0.6714536737180057, 'local_model_4': 0.6746192195345507, 'local_model_5': 0.6314250717216771, 'local_model_6': 0.7867898611097652, 'local_model_7': 0.7221091060276865, 'local_model_8': 0.6517172156627147, 'local_model_9': 0.6260222725750162}
{'local_model_0': 0.5353101699265902, 'local_model_1': 0.7636904086554437, 'local_model_2': 0.7289243312411341, 'local_model_3': 0.41267142101713156, 'local_model_4': 0.6971492873351863, 'local_model_5': 0.5306498596195239, 'local_model_6': 0.5838565538259363, 'local_model_7': 0.42966853927164034, 'local_model_8': 0.30498145687684575, 'local_model_9': 0.49585303982576573}
{'local_model_0': 0.48373692570848115, 'local_model_1': 0.5881256104941867, 'local_model_2': 0.5221357332141755, 'local_model_3': 0.6491549852379573, 'local_model_4': 0.5792855938837813, 'local_model_5': 0.5092784599179465, 'local_model_6': 0.6026784087859356, 'local_model_7': 0.5558850635237236, 'local_model_8': 0.4927831527833082, 'local_model_9': 0.4759301420644855}
{'local_model_0': 0.5767979264298091, 'local_model_1': 0.41507217876050745, 'local_model_2': 0.6350771468559442, 'local_model_3': 0.7504260728578279, 'local_model_4': 0.6610384342211869, 'local_model_5': 0.5629985179845878, 'local_model_6': 0.7214561337422289, 'local_model_7': 0.5407967820807246, 'local_model_8': 0.686523116458362, 'local_model_9': 0.7207018858563419}
{'local_model_0': 0.3468778981844431, 'local_model_1': 0.8048264777472173, 'local_model_2': 0.6553871516792865, 'local_model_3': 0.6243783202856253, 'local_model_4': 0.6489579667331227, 'local_model_5': 0.7533159497860771, 'local_model_6': 0.4702744876090183, 'local_model_7': 0.5693219398761784, 'local_model_8': 0.4229823980729623, 'local_model_9': 0.6549476049692275}
{'local_model_0': 0.5151403867710282, 'local_model_1': 0.7071368127260063, 'local_model_2': 0.7125847709228702, 'local_model_3': 0.5837621010005575, 'local_model_4': 0.8447029452168077, 'local_model_5': 0.5556391764077441, 'local_model_6': 0.7349474493668215, 'local_model_7': 0.4961298951591752, 'local_model_8': 0.5828713337544668, 'local_model_9': 0.46381343081883053}
{'local_model_0': 0.672502071988328, 'local_model_1': 0.655689449869228, 'local_model_2': 0.49009872798265575, 'local_model_3': 0.49956312576461315, 'local_model_4': 0.6563045041290168, 'local_model_5': 0.7184565700321361, 'local_model_6': 0.47652280723509766, 'local_model_7': 0.7259244281517242, 'local_model_8': 0.8215737849942131, 'local_model_9': 0.5297483820229228}
{'local_model_0': 0.787676253357362, 'local_model_1': 0.7526991427754081, 'local_model_2': 0.45332793373338764, 'local_model_3': 0.7387907942445038, 'local_model_4': 0.678053747309769, 'local_model_5': 0.6543028976571585, 'local_model_6': 0.5969224941212296, 'local_model_7': 0.5696890602221799, 'local_model_8': 0.4931053121634147, 'local_model_9': 0.6327342216997632}
{'local_model_0': 0.7313650515571992, 'local_model_1': 0.3248458228120101, 'local_model_2': 0.545724697430027, 'local_model_3': 0.7589450769174759, 'local_model_4': 0.3672127043837167, 'local_model_5': 0.5406849217909735, 'local_model_6': 0.6425104315902698, 'local_model_7': 0.701453603534774, 'local_model_8': 0.601542079810193, 'local_model_9': 0.528011112532977}
{'local_model_0': 0.4603906338115111, 'local_model_1': 0.44967217431864703, 'local_model_2': 0.7105510505158027, 'local_model_3': 0.3948240600729214, 'local_model_4': 0.4715961394718533, 'local_model_5': 0.8222951797700043, 'local_model_6': 0.38649833570123826, 'local_model_7': 0.2868556132202067, 'local_model_8': 0.5556935837027382, 'local_model_9': 0.42539654528801085}
{'local_model_0': 0.37813791473005376, 'local_model_1': 0.6969279997388114, 'local_model_2': 0.6629938299069789, 'local_model_3': 0.8663952959466579, 'local_model_4': 0.7220951905348332, 'local_model_5': 0.6964517708902558, 'local_model_6': 0.7016904527504717, 'local_model_7': 0.36214283084429955, 'local_model_8': 0.5900759564085467, 'local_model_9': 0.7023499297680156}
{'local_model_0': 0.727032152519633, 'local_model_1': 0.7522283133445498, 'local_model_2': 0.5543513122476043, 'local_model_3': 0.7936250956176244, 'local_model_4': 0.702633369989755, 'local_model_5': 0.7180868319070662, 'local_model_6': 0.807433509891251, 'local_model_7': 0.7708418022939275, 'local_model_8': 0.7560623725975257, 'local_model_9': 0.8185536377950969}
{'local_model_0': 0.7151547907205935, 'local_model_1': 0.6160969055351359, 'local_model_2': 0.8280772761167151, 'local_model_3': 0.7926987019502619, 'local_model_4': 0.7685701707039145, 'local_model_5': 0.7249222167081272, 'local_model_6': 0.7588542156768544, 'local_model_7': 0.8407715315261513, 'local_model_8': 0.696762705531056, 'local_model_9': 0.7696802945529795}
{'local_model_0': 0.7191713637939376, 'local_model_1': 0.6106555678465807, 'local_model_2': 0.8250171692106548, 'local_model_3': 0.7364982741551589, 'local_model_4': 0.7294031190268443, 'local_model_5': 0.7387230119124352, 'local_model_6': 0.560444930387932, 'local_model_7': 0.5804755618228492, 'local_model_8': 0.8542457305082308, 'local_model_9': 0.8727428017969948}
{'local_model_0': 0.5045759332106746, 'local_model_1': 0.43042450329590853, 'local_model_2': 0.6623710262772826, 'local_model_3': 0.7239126050051498, 'local_model_4': 0.6823306534310967, 'local_model_5': 0.7361488481568048, 'local_model_6': 0.49721907370275437, 'local_model_7': 0.8156319833668051, 'local_model_8': 0.6451045088472085, 'local_model_9': 0.8754090956383339}
{'local_model_0': 0.8091045264140125, 'local_model_1': 0.6711316014180101, 'local_model_2': 0.6405212856877415, 'local_model_3': 0.6879228345562465, 'local_model_4': 0.5177289882272541, 'local_model_5': 0.81654036157427, 'local_model_6': 0.7294894510240021, 'local_model_7': 0.7311847424528816, 'local_model_8': 0.72182018417242, 'local_model_9': 0.6918226551910972}
{'local_model_0': 0.529478941868012, 'local_model_1': 0.6673866570870975, 'local_model_2': 0.7065867587691755, 'local_model_3': 0.33225845224362216, 'local_model_4': 0.5462072584173705, 'local_model_5': 0.7116614359205868, 'local_model_6': 0.6729364723682566, 'local_model_7': 0.6934661674563944, 'local_model_8': 0.642849359944056, 'local_model_9': 0.7483563359260832}
{'local_model_0': 0.35195881292551473, 'local_model_1': 0.7157351357221162, 'local_model_2': 0.573543496053099, 'local_model_3': 0.748334086148585, 'local_model_4': 0.5991230582324883, 'local_model_5': 0.7621996744117155, 'local_model_6': 0.6535035426889889, 'local_model_7': 0.7026067115235238, 'local_model_8': 0.6808053326095376, 'local_model_9': 0.6494975224800259}
{'local_model_0': 0.5605047705034224, 'local_model_1': 0.7007987554183288, 'local_model_2': 0.7472867115404627, 'local_model_3': 0.7887259122051752, 'local_model_4': 0.518353333700651, 'local_model_5': 0.6819025040064685, 'local_model_6': 0.5332285722783594, 'local_model_7': 0.50769182456803, 'local_model_8': 0.6364730163675606, 'local_model_9': 0.6555527773938411}
{'local_model_0': 0.5682979128320607, 'local_model_1': 0.5539995339767894, 'local_model_2': 0.634461340509256, 'local_model_3': 0.6931082097043872, 'local_model_4': 0.5302802164490197, 'local_model_5': 0.6325079718580294, 'local_model_6': 0.7855385559398297, 'local_model_7': 0.6795572899992292, 'local_model_8': 0.5747913948134322, 'local_model_9': 0.6603029627331727}
{'local_model_0': 0.567192879827345, 'local_model_1': 0.7275462078078603, 'local_model_2': 0.8368608792777719, 'local_model_3': 0.7550640331812319, 'local_model_4': 0.6487199515337851, 'local_model_5': 0.753392782319127, 'local_model_6': 0.6893517771791985, 'local_model_7': 0.6442003313746145, 'local_model_8': 0.7053856183229827, 'local_model_9': 0.6853565261414943}
{'local_model_0': 0.5053457670611673, 'local_model_1': 0.7688596467666914, 'local_model_2': 0.8883309221525891, 'local_model_3': 0.8445854011201439, 'local_model_4': 0.7868779586916729, 'local_model_5': 0.6480011796120597, 'local_model_6': 0.728171641180503, 'local_model_7': 0.8425628627893373, 'local_model_8': 0.7965137873376315, 'local_model_9': 0.5448267315087727}
{'local_model_0': 0.7735108497574593, 'local_model_1': 0.7214033582341963, 'local_model_2': 0.7535931683229476, 'local_model_3': 0.6824424957676476, 'local_model_4': 0.6555324128580803, 'local_model_5': 0.514809923916905, 'local_model_6': 0.7960362213606313, 'local_model_7': 0.7201500660979827, 'local_model_8': 0.7018240316667891, 'local_model_9': 0.5641593805633354}
{'local_model_0': 0.729321287547527, 'local_model_1': 0.8482610128954127, 'local_model_2': 0.7917870824380326, 'local_model_3': 0.8650565690961435, 'local_model_4': 0.8559615685819362, 'local_model_5': 0.7316068969139953, 'local_model_6': 0.8820679033814488, 'local_model_7': 0.6102272491257591, 'local_model_8': 0.777225845656578, 'local_model_9': 0.8134341224622743}
{'local_model_0': 0.7408312272883093, 'local_model_1': 0.736634783087659, 'local_model_2': 0.5506474199664807, 'local_model_3': 0.9104772904338159, 'local_model_4': 0.7582163294511571, 'local_model_5': 0.6491226404838052, 'local_model_6': 0.48059811293969523, 'local_model_7': 0.7780808840862626, 'local_model_8': 0.851139626290953, 'local_model_9': 0.7846849984530211}
{'local_model_0': 0.6614319288881623, 'local_model_1': 0.5552807242607513, 'local_model_2': 0.5017223433275497, 'local_model_3': 0.47500761271257685, 'local_model_4': 0.7246429553389658, 'local_model_5': 0.4522783291136442, 'local_model_6': 0.5947494839798729, 'local_model_7': 0.6264859748513848, 'local_model_8': 0.6407349244400028, 'local_model_9': 0.6615221770144171}
{'local_model_0': 0.5566569207587452, 'local_model_1': 0.5123987229156056, 'local_model_2': 0.795087610073559, 'local_model_3': 0.648511766339367, 'local_model_4': 0.6336675385043304, 'local_model_5': 0.5761835572649244, 'local_model_6': 0.7087192702284228, 'local_model_7': 0.5500120082733005, 'local_model_8': 0.650262076172379, 'local_model_9': 0.6831198129181583}
{'local_model_0': 0.7933750353025882, 'local_model_1': 0.619560218004695, 'local_model_2': 0.7833044844287239, 'local_model_3': 0.5789386059143231, 'local_model_4': 0.7628006505575984, 'local_model_5': 0.6720845436190525, 'local_model_6': 0.7235056731114526, 'local_model_7': 0.7808776718384711, 'local_model_8': 0.6938288554696035, 'local_model_9': 0.6945211966633167}
{'local_model_0': 0.5415838935735298, 'local_model_1': 0.537989638350916, 'local_model_2': 0.5935725578805188, 'local_model_3': 0.5970726036971961, 'local_model_4': 0.717343410497319, 'local_model_5': 0.5187425699506973, 'local_model_6': 0.6359139090437589, 'local_model_7': 0.5194317390034445, 'local_model_8': 0.46509400339466417, 'local_model_9': 0.5747121700397554}
{'local_model_0': 0.5601692819763524, 'local_model_1': 0.47857450296795356, 'local_model_2': 0.5782048992086423, 'local_model_3': 0.646034131852188, 'local_model_4': 0.6223139412558676, 'local_model_5': 0.6315352502829961, 'local_model_6': 0.6332814868400303, 'local_model_7': 0.7307523798926668, 'local_model_8': 0.8369828431255969, 'local_model_9': 0.6654154298247456}
{'local_model_0': 0.6658741930464398, 'local_model_1': 0.695594288312484, 'local_model_2': 0.7666198547564046, 'local_model_3': 0.6029196458932711, 'local_model_4': 0.7302063396311814, 'local_model_5': 0.6673587832222301, 'local_model_6': 0.5490840150920775, 'local_model_7': 0.7301759642551356, 'local_model_8': 0.6014726403050511, 'local_model_9': 0.4203570973370513}
{'local_model_0': 0.5871363427663528, 'local_model_1': 0.5434892971668804, 'local_model_2': 0.6821314588160796, 'local_model_3': 0.512543746014123, 'local_model_4': 0.640107919881539, 'local_model_5': 0.37242248555125823, 'local_model_6': 0.4645707214132671, 'local_model_7': 0.4910376830353378, 'local_model_8': 0.2868170648345305, 'local_model_9': 0.5972403069733236}
{'local_model_0': 0.5556483952815131, 'local_model_1': 0.298655626083939, 'local_model_2': 0.29120897402868084, 'local_model_3': 0.5176017312667132, 'local_model_4': 0.26170859821568926, 'local_model_5': 0.5199004554921882, 'local_model_6': 0.5645640733238745, 'local_model_7': 0.2845143186735912, 'local_model_8': 0.180926922426375, 'local_model_9': 0.626073759972257}
{'local_model_0': 0.6616091247429555, 'local_model_1': 0.8046998663433954, 'local_model_2': 0.704010236030318, 'local_model_3': 0.7230351633502597, 'local_model_4': 0.6560443887024449, 'local_model_5': 0.7003116750497983, 'local_model_6': 0.7127761904606149, 'local_model_7': 0.5396047369572681, 'local_model_8': 0.6311479641513167, 'local_model_9': 0.738511500038077}
{'local_model_0': 0.5900926280016004, 'local_model_1': 0.5557288300142305, 'local_model_2': 0.6871080201935122, 'local_model_3': 0.7419159120839263, 'local_model_4': 0.8447202504492668, 'local_model_5': 0.7210753994436295, 'local_model_6': 0.65599628848308, 'local_model_7': 0.7222237339317756, 'local_model_8': 0.4925742537946564, 'local_model_9': 0.6266212771194898}
